mission,class,subclass,category,dimensionality,locality,length
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_11,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_26,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_26,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_26,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_26,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_26,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_26,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_26,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_21,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_14,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_11,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_10,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_21,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_4,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_4,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_3,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_29,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_14,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_14,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_23,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_7,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_5,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_21,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_8,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_11,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_26,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_9,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_9,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_26,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_21,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_14,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_11,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_20,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_30,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_18,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission2,class_19,unknown,Rare Event,Multivariate,Global,Subsequence
